"","inegi","name_ent","name_mun","concepto","est","cuidar","razon","faltan_est","ent"
"1","32004","Zacatecas","Benito Juárez","guarderias",0,506,130,4,"32"
"2","32004","Zacatecas","Benito Juárez","asilos",1,493,324,1,"32"
"3","32004","Zacatecas","Benito Juárez","estancias",0,68,100,1,"32"
"4","32005","Zacatecas","Calera","guarderias",9,5685,130,35,"32"
"5","32005","Zacatecas","Calera","asilos",0,2707,324,8,"32"
"6","32005","Zacatecas","Calera","estancias",1,491,100,4,"32"
"7","32007","Zacatecas","Concepción del Oro","guarderias",0,1155,130,9,"32"
"8","32007","Zacatecas","Concepción del Oro","asilos",1,1406,324,3,"32"
"9","32007","Zacatecas","Concepción del Oro","estancias",0,121,100,1,"32"
"10","32010","Zacatecas","Fresnillo","guarderias",23,28567,130,197,"32"
"11","32010","Zacatecas","Fresnillo","asilos",0,15723,324,49,"32"
"12","32010","Zacatecas","Fresnillo","estancias",2,2571,100,24,"32"
"13","32013","Zacatecas","General Enrique Estrada","guarderias",1,778,130,5,"32"
"14","32013","Zacatecas","General Enrique Estrada","asilos",0,538,324,2,"32"
"15","32013","Zacatecas","General Enrique Estrada","estancias",0,89,100,1,"32"
"16","32014","Zacatecas","General Francisco R. Murguía","guarderias",0,2107,130,16,"32"
"17","32014","Zacatecas","General Francisco R. Murguía","asilos",1,2116,324,6,"32"
"18","32014","Zacatecas","General Francisco R. Murguía","estancias",0,221,100,2,"32"
"19","32017","Zacatecas","Guadalupe","guarderias",31,22614,130,143,"32"
"20","32017","Zacatecas","Guadalupe","asilos",2,8291,324,24,"32"
"21","32017","Zacatecas","Guadalupe","estancias",1,1891,100,18,"32"
"22","32019","Zacatecas","Jalpa","guarderias",1,2969,130,22,"32"
"23","32019","Zacatecas","Jalpa","asilos",1,2535,324,7,"32"
"24","32019","Zacatecas","Jalpa","estancias",1,357,100,3,"32"
"25","32020","Zacatecas","Jerez","guarderias",13,5950,130,33,"32"
"26","32020","Zacatecas","Jerez","asilos",0,6145,324,19,"32"
"27","32020","Zacatecas","Jerez","estancias",2,824,100,6,"32"
"28","32022","Zacatecas","Juan Aldama","guarderias",2,2370,130,16,"32"
