"","inegi","name_ent","name_mun","concepto","est","cuidar","razon","faltan_est","ent"
"1","11040","Guanajuato","Tierra Blanca","asilos",0,0,324,0,"11"
"2","19001","Nuevo León","Abasolo","asilos",0,0,324,0,"19"
"3","07100","Chiapas","Tumbalá","asilos",0,0,324,0,"07"
"4","13080","Hidalgo","Yahualica","asilos",0,0,324,0,"13"
"5","20424","Oaxaca","Santa María Ozolotepec","asilos",0,0,324,0,"20"
"6","15081","Estado de México","Tecámac","asilos",0,28925,324,89,"15"
"7","25011","Sinaloa","Guasave","asilos",0,23319,324,72,"25"
"8","30145","Veracruz","Soconusco","asilos",0,1216,324,4,"30"
"9","10016","Durango","Nombre de Dios","asilos",0,1885,324,6,"10"
"10","20015","Oaxaca","Coatecas Altas","asilos",0,0,324,0,"20"
"11","31049","Yucatán","Mayapán","asilos",0,0,324,0,"31"
"12","20363","Oaxaca","Santa Catarina Ixtepeji","asilos",0,0,324,0,"20"
"13","08065","Chihuahua","Urique","asilos",0,0,324,0,"08"
"14","25017","Sinaloa","Sinaloa","asilos",0,9476,324,29,"25"
"15","20361","Oaxaca","Santa Catalina Quierí","asilos",0,0,324,0,"20"
"16","01005","Aguascalientes","Jesús María","asilos",0,6695,324,21,"01"
"17","10002","Durango","Canelas","asilos",0,0,324,0,"10"
"18","14021","Jalisco","Casimiro Castillo","asilos",0,2106,324,6,"14"
"19","16100","Michoacán","Tzintzuntzan","asilos",0,1535,324,5,"16"
"20","08059","Chihuahua","San Francisco del Oro","asilos",0,0,324,0,"08"
"21","15041","Estado de México","Ixtapan del Oro","asilos",0,0,324,0,"15"
"22","13043","Hidalgo","Nicolás Flores","asilos",0,0,324,0,"13"
"23","21117","Puebla","Rafael Lara Grajales","asilos",0,875,324,3,"21"
"24","05033","Coahuila","San Pedro","asilos",1,7794,324,23,"05"
"25","07025","Chiapas","Chapultenango","asilos",0,0,324,0,"07"
"26","08005","Chihuahua","Ascensión","asilos",0,0,324,0,"08"
"27","20187","Oaxaca","San Juan Coatzóspam","asilos",0,0,324,0,"20"
"28","15072","Estado de México","Rayón","asilos",0,890,324,3,"15"
"29","09003","Ciudad de México","Coyoacán","asilos",16,82343,324,238,"09"
"30","20128","Oaxaca","San Cristóbal Lachirioag","asilos",0,0,324,0,"20"
"31","31068","Yucatán","Sinanché","asilos",0,0,324,0,"31"
"32","20188","Oaxaca","San Juan Colorado","asilos",0,0,324,0,"20"
"33","15061","Estado de México","Nopaltepec","asilos",0,896,324,3,"15"
"34","15018","Estado de México","Calimaya","asilos",0,3552,324,11,"15"
"35","08015","Chihuahua","Coyame del Sotol","asilos",0,0,324,0,"08"
"36","20356","Oaxaca","Santa Ana del Valle","asilos",0,0,324,0,"20"
"37","20443","Oaxaca","Santa María Yavesía","asilos",0,0,324,0,"20"
"38","20414","Oaxaca","Santa María Huazolotitlán","asilos",0,0,324,0,"20"
"39","08002","Chihuahua","Aldama","asilos",1,2052,324,5,"08"
"40","28006","Tamaulipas","Bustamante","asilos",0,0,324,0,"28"
"41","15025","Estado de México","Chalco","asilos",1,17781,324,54,"15"
"42","21047","Puebla","Chiautla","asilos",0,0,324,0,"21"
"43","30065","Veracruz","Emiliano Zapata","asilos",1,5841,324,17,"30"
"44","14010","Jalisco","Atemajac de Brizuela","asilos",0,0,324,0,"14"
"45","14114","Jalisco","Villa Corona","asilos",1,1953,324,5,"14"
"46","08037","Chihuahua","Juárez","asilos",14,84196,324,246,"08"
"47","12061","Guerrero","Tixtla de Guerrero","asilos",0,3746,324,12,"12"
"48","24034","San Luis Potosí","San Vicente Tancuayalab","asilos",0,1573,324,5,"24"
"49","30209","Veracruz","Tatahuicapan de Juárez","asilos",0,0,324,0,"30"
"50","21168","Puebla","Tepexco","asilos",0,0,324,0,"21"
"51","30200","Veracruz","Zentla","asilos",0,0,324,0,"30"
"52","30133","Veracruz","Pueblo Viejo","asilos",0,4825,324,15,"30"
