"","inegi","name_ent","name_mun","concepto","est","cuidar","razon","faltan_est","ent"
"1","13056","Hidalgo","Santiago Tulantepec de Lugo Guerrero","estancias",1,272,100,2,"13"
"2","20530","Oaxaca","Santo Tomás Jalieza","estancias",0,32,100,0,"20"
"3","26014","Sonora","Baviácora","estancias",0,0,100,0,"26"
"4","31063","Yucatán","Samahil","estancias",0,64,100,1,"31"
"5","20451","Oaxaca","Santiago Apoala","estancias",0,0,100,0,"20"
"6","17010","Morelos","Jantetelco","estancias",0,181,100,2,"17"
"7","32040","Zacatecas","Sain Alto","estancias",0,0,100,0,"32"
"8","10034","Durango","Tamazula","estancias",0,0,100,0,"10"
"9","21195","Puebla","Vicente Guerrero","estancias",0,0,100,0,"21"
"10","08008","Chihuahua","Batopilas de Manuel Gómez Morín","estancias",0,0,100,0,"08"
"11","28012","Tamaulipas","González","estancias",0,609,100,6,"28"
"12","20374","Oaxaca","Santa Cruz Acatepec","estancias",0,0,100,0,"20"
"13","15061","Estado de México","Nopaltepec","estancias",1,88,100,0,"15"
"14","20074","Oaxaca","Santa Catarina Quioquitani","estancias",0,0,100,0,"20"
"15","30145","Veracruz","Soconusco","estancias",0,243,100,2,"30"
"16","14057","Jalisco","La Manzanilla de la Paz","estancias",0,0,100,0,"14"
"17","07056","Chiapas","Mitontic","estancias",0,0,100,0,"07"
"18","21139","Puebla","San Pablo Anicano","estancias",0,0,100,0,"21"
"19","12028","Guerrero","Chilapa de Álvarez","estancias",0,1030,100,10,"12"
"20","30101","Veracruz","Mariano Escobedo","estancias",0,0,100,0,"30"
"21","20531","Oaxaca","Santo Tomás Mazaltepec","estancias",0,0,100,0,"20"
"22","19001","Nuevo León","Abasolo","estancias",0,0,100,0,"19"
"23","32049","Zacatecas","Valparaíso","estancias",0,527,100,5,"32"
"24","05005","Coahuila","Candela","estancias",0,22,100,0,"05"
"25","13026","Hidalgo","Huazalingo","estancias",0,0,100,0,"13"
"26","30113","Veracruz","Naranjal","estancias",0,0,100,0,"30"
"27","15067","Estado de México","Otzolotepec","estancias",1,771,100,7,"15"
"28","30115","Veracruz","Nogales","estancias",0,516,100,5,"30"
"29","14005","Jalisco","Amatitán","estancias",0,172,100,2,"14"
"30","18016","Nayarit","Tecuala","estancias",1,624,100,5,"18"
"31","20437","Oaxaca","Santa María Tlahuitoltepec","estancias",0,0,100,0,"20"
"32","21150","Puebla","Huehuetlán el Grande","estancias",0,0,100,0,"21"
"33","26011","Sonora","Bacoachi","estancias",0,0,100,0,"26"
"34","20439","Oaxaca","Santa María Tonameca","estancias",0,0,100,0,"20"
"35","32001","Zacatecas","Apozol","estancias",0,0,100,0,"32"
"36","15044","Estado de México","Jaltenco","estancias",0,340,100,3,"15"
"37","31001","Yucatán","Abalá","estancias",0,0,100,0,"31"
"38","20098","Oaxaca","San Andrés Teotilálpam","estancias",0,0,100,0,"20"
"39","20498","Oaxaca","Santiago Yaveo","estancias",0,0,100,0,"20"
"40","13008","Hidalgo","Apan","estancias",1,455,100,4,"13"
"41","24011","San Luis Potosí","Ciudad Fernández","estancias",1,744,100,6,"24"
"42","30147","Veracruz","Soledad Atzompa","estancias",0,0,100,0,"30"
"43","21065","Puebla","General Felipe Ángeles","estancias",0,0,100,0,"21"
"44","21011","Puebla","Albino Zertuche","estancias",0,0,100,0,"21"
"45","20226","Oaxaca","San Lorenzo Albarradas","estancias",0,0,100,0,"20"
"46","07091","Chiapas","Tapilula","estancias",0,111,100,1,"07"
"47","20367","Oaxaca","Santa Catarina Mechoacán","estancias",0,0,100,0,"20"
"48","20247","Oaxaca","Capulálpam de Méndez","estancias",0,0,100,0,"20"
"49","25003","Sinaloa","Badiraguato","estancias",0,527,100,5,"25"
"50","20058","Oaxaca","Mazatlán Villa de Flores","estancias",0,0,100,0,"20"
"51","07030","Chiapas","Chicomuselo","estancias",0,452,100,5,"07"
"52","12004","Guerrero","Alcozauca de Guerrero","estancias",0,0,100,0,"12"
"53","08057","Chihuahua","San Francisco de Borja","estancias",0,0,100,0,"08"
"54","32035","Zacatecas","Noria de Ángeles","estancias",0,0,100,0,"32"
"55","20455","Oaxaca","Santiago Ayuquililla","estancias",0,0,100,0,"20"
"56","29022","Tlaxcala","Acuamanala de Miguel Hidalgo","estancias",0,43,100,0,"29"
"57","07049","Chiapas","Larráinzar","estancias",0,0,100,0,"07"
"58","07045","Chiapas","Ixtapangajoya","estancias",0,0,100,0,"07"
"59","08024","Chihuahua","Santa Isabel","estancias",0,0,100,0,"08"
"60","13059","Hidalgo","Tecozautla","estancias",0,0,100,0,"13"
"61","31028","Yucatán","Dzilam de Bravo","estancias",0,0,100,0,"31"
"62","21024","Puebla","Axutla","estancias",0,0,100,0,"21"
"63","11039","Guanajuato","Tarimoro","estancias",0,376,100,4,"11"
"64","20454","Oaxaca","Santiago Atitlán","estancias",0,0,100,0,"20"
"65","13053","Hidalgo","San Bartolo Tutotepec","estancias",0,278,100,3,"13"
"66","07070","Chiapas","El Porvenir","estancias",0,0,100,0,"07"
"67","12016","Guerrero","Coahuayutla de José María Izazaga","estancias",0,0,100,0,"12"
"68","20010","Oaxaca","El Barrio de la Soledad","estancias",1,270,100,2,"20"
"69","15003","Estado de México","Aculco","estancias",0,0,100,0,"15"
"70","07100","Chiapas","Tumbalá","estancias",0,0,100,0,"07"
"71","15092","Estado de México","Teotihuacán","estancias",0,366,100,4,"15"
"72","20423","Oaxaca","Santa María Nduayaco","estancias",0,0,100,0,"20"
"73","10017","Durango","Ocampo","estancias",0,0,100,0,"10"
"74","19029","Nuevo León","Hualahuises","estancias",0,0,100,0,"19"
"75","29060","Tlaxcala","Santa Isabel Xiloxoxtla","estancias",0,0,100,0,"29"
"76","30148","Veracruz","Soledad de Doblado","estancias",0,553,100,6,"30"
"77","07080","Chiapas","Siltepec","estancias",0,0,100,0,"07"
"78","31105","Yucatán","Yaxkukul","estancias",0,42,100,0,"31"
"79","30209","Veracruz","Tatahuicapan de Juárez","estancias",0,0,100,0,"30"
"80","30025","Veracruz","Ayahualulco","estancias",0,0,100,0,"30"
"81","21137","Puebla","San Nicolás Buenos Aires","estancias",0,0,100,0,"21"
"82","31015","Yucatán","Cuzamá","estancias",0,0,100,0,"31"
"83","31071","Yucatán","Sudzal","estancias",0,0,100,0,"31"
"84","12001","Guerrero","Acapulco de Juárez","estancias",4,9805,100,94,"12"
"85","15016","Estado de México","Axapusco","estancias",0,262,100,3,"15"
"86","07035","Chiapas","Frontera Hidalgo","estancias",0,0,100,0,"07"
"87","16042","Michoacán","Ixtlán","estancias",0,0,100,0,"16"
"88","14082","Jalisco","Sayula","estancias",0,226,100,2,"14"
"89","28042","Tamaulipas","Villagrán","estancias",0,0,100,0,"28"
"90","07013","Chiapas","Bochil","estancias",0,0,100,0,"07"
"91","16017","Michoacán","Contepec","estancias",0,0,100,0,"16"
"92","20021","Oaxaca","Cosolapa","estancias",0,190,100,2,"20"
"93","29016","Tlaxcala","Ixtenco","estancias",0,88,100,1,"29"
"94","20169","Oaxaca","San José Independencia","estancias",0,0,100,0,"20"
"95","19012","Nuevo León","Ciénega de Flores","estancias",0,520,100,5,"19"
"96","25015","Sinaloa","Salvador Alvarado","estancias",2,1117,100,9,"25"
"97","20031","Oaxaca","Tamazulápam del Espíritu Santo","estancias",0,0,100,0,"20"
"98","28041","Tamaulipas","Victoria","estancias",1,4139,100,40,"28"
"99","20115","Oaxaca","San Bartolo Coyotepec","estancias",0,112,100,1,"20"
"100","15058","Estado de México","Nezahualcóyotl","estancias",4,13500,100,131,"15"
"101","07025","Chiapas","Chapultenango","estancias",0,0,100,0,"07"
"102","08004","Chihuahua","Aquiles Serdán","estancias",0,149,100,1,"08"
"103","14074","Jalisco","San Julián","estancias",0,215,100,2,"14"
"104","13032","Hidalgo","Jaltocán","estancias",0,0,100,0,"13"
"105","16064","Michoacán","Parácuaro","estancias",1,387,100,3,"16"
"106","20406","Oaxaca","Santa María Chilchotla","estancias",0,0,100,0,"20"
"107","21216","Puebla","Zoquiapan","estancias",0,0,100,0,"21"
"108","18010","Nayarit","Rosamorada","estancias",0,333,100,3,"18"
"109","32053","Zacatecas","Villa González Ortega","estancias",1,194,100,1,"32"
"110","20131","Oaxaca","San Dionisio Ocotepec","estancias",0,0,100,0,"20"
"111","31032","Yucatán","Espita","estancias",0,0,100,0,"31"
"112","32025","Zacatecas","Luis Moya","estancias",0,136,100,1,"32"
"113","20163","Oaxaca","San Jerónimo Tecóatl","estancias",0,0,100,0,"20"
"114","23010","Quintana Roo","Bacalar","estancias",0,525,100,5,"23"
"115","12074","Guerrero","Zitlala","estancias",0,0,100,0,"12"
"116","24008","San Luis Potosí","Cerritos","estancias",0,353,100,4,"24"
