"","inegi","name_ent","name_mun","concepto","est","cuidar","razon","faltan_est","ent"
"1","30017","Veracruz","Apazapan","guarderias",0,0,130,0,"30"
"2","18008","Nayarit","Xalisco","guarderias",14,6438,130,36,"18"
"3","30055","Veracruz","Chalma","guarderias",0,0,130,0,"30"
"4","12006","Guerrero","Apaxtla","guarderias",0,0,130,0,"12"
"5","14009","Jalisco","El Arenal","guarderias",0,0,130,0,"14"
"6","30168","Veracruz","Tequila","guarderias",0,0,130,0,"30"
"7","11005","Guanajuato","Apaseo el Grande","guarderias",6,11941,130,86,"11"
"8","12001","Guerrero","Acapulco de Juárez","guarderias",58,71583,130,493,"12"
"9","21198","Puebla","Xicotlán","guarderias",0,0,130,0,"21"
"10","21118","Puebla","Los Reyes de Juárez","guarderias",0,0,130,0,"21"
"11","01004","Aguascalientes","Cosío","guarderias",0,0,130,0,"01"
"12","30129","Veracruz","Platón Sánchez","guarderias",0,0,130,0,"30"
"13","31012","Yucatán","Cenotillo","guarderias",0,0,130,0,"31"
"14","26038","Sonora","Moctezuma","guarderias",1,439,130,2,"26"
"15","20397","Oaxaca","Heroica Ciudad de Tlaxiaco","guarderias",3,4627,130,33,"20"
"16","20007","Oaxaca","Asunción Ocotlán","guarderias",0,0,130,0,"20"
"17","10016","Durango","Nombre de Dios","guarderias",1,2095,130,15,"10"
"18","12046","Guerrero","Ometepec","guarderias",4,8018,130,58,"12"
"19","16046","Michoacán","Juárez","guarderias",0,0,130,0,"16"
"20","10008","Durango","Guadalupe Victoria","guarderias",2,3836,130,28,"10"
"21","07072","Chiapas","Pueblo Nuevo Solistahuacán","guarderias",1,4804,130,36,"07"
"22","20363","Oaxaca","Santa Catarina Ixtepeji","guarderias",0,0,130,0,"20"
"23","31050","Yucatán","Mérida","guarderias",155,74945,130,422,"31"
"24","12003","Guerrero","Ajuchitlán del Progreso","guarderias",2,4866,130,35,"12"
"25","29019","Tlaxcala","Tepetitla de Lardizábal","guarderias",2,2342,130,16,"29"
"26","13049","Hidalgo","Pisaflores","guarderias",0,0,130,0,"13"
"27","13045","Hidalgo","Omitlán de Juárez","guarderias",0,0,130,0,"13"
"28","20230","Oaxaca","San Lorenzo Victoria","guarderias",0,0,130,0,"20"
"29","20398","Oaxaca","Ayoquezco de Aldama","guarderias",0,0,130,0,"20"
"30","15052","Estado de México","Malinalco","guarderias",2,2964,130,21,"15"
"31","14057","Jalisco","La Manzanilla de la Paz","guarderias",0,0,130,0,"14"
"32","14039","Jalisco","Guadalajara","guarderias",169,104789,130,637,"14"
"33","29022","Tlaxcala","Acuamanala de Miguel Hidalgo","guarderias",1,706,130,4,"29"
"34","20558","Oaxaca","Valerio Trujano","guarderias",0,0,130,0,"20"
"35","24050","San Luis Potosí","Villa de Reyes","guarderias",2,6418,130,47,"24"
"36","21171","Puebla","Tepeyahualco de Cuauhtémoc","guarderias",0,0,130,0,"21"
"37","15091","Estado de México","Teoloyucan","guarderias",4,6551,130,46,"15"
"38","29058","Tlaxcala","Santa Catarina Ayometla","guarderias",0,0,130,0,"29"
"39","21101","Puebla","Nauzontla","guarderias",0,0,130,0,"21"
"40","26048","Sonora","Puerto Peñasco","guarderias",6,5956,130,40,"26"
"41","16109","Michoacán","Zináparo","guarderias",0,0,130,0,"16"
"42","07096","Chiapas","Tila","guarderias",1,12386,130,94,"07"
"43","17019","Morelos","Tepalcingo","guarderias",1,2636,130,19,"17"
"44","30155","Veracruz","Tantoyuca","guarderias",4,9488,130,69,"30"
"45","24012","San Luis Potosí","Tancanhuitz","guarderias",1,2065,130,15,"24"
"46","07044","Chiapas","Ixtapa","guarderias",0,0,130,0,"07"
"47","24004","San Luis Potosí","Armadillo de los Infante","guarderias",0,0,130,0,"24"
"48","09003","Ciudad de México","Coyoacán","guarderias",64,33843,130,196,"09"
"49","20139","Oaxaca","San Francisco Chapulapa","guarderias",0,0,130,0,"20"
"50","05004","Coahuila","Arteaga","guarderias",1,3089,130,23,"05"
"51","31053","Yucatán","Muna","guarderias",2,1283,130,8,"31"
"52","11003","Guanajuato","San Miguel de Allende","guarderias",8,16362,130,118,"11"
"53","15125","Estado de México","Tonanitla","guarderias",1,1439,130,10,"15"
"54","30050","Veracruz","Coxquihui","guarderias",0,0,130,0,"30"
"55","31016","Yucatán","Chacsinkín","guarderias",0,0,130,0,"31"
"56","30204","Veracruz","Agua Dulce","guarderias",1,3673,130,27,"30"
"57","12022","Guerrero","Coyuca de Catalán","guarderias",2,4536,130,33,"12"
"58","30103","Veracruz","Mecatlán","guarderias",0,0,130,0,"30"
"59","30004","Veracruz","Actopan","guarderias",2,2908,130,20,"30"
"60","08056","Chihuahua","Rosario","guarderias",0,0,130,0,"08"
"61","20460","Oaxaca","Santiago Choápam","guarderias",0,0,130,0,"20"
"62","31017","Yucatán","Chankom","guarderias",0,0,130,0,"31"
"63","05005","Coahuila","Candela","guarderias",0,174,130,1,"05"
"64","14075","Jalisco","San Marcos","guarderias",0,0,130,0,"14"
"65","15110","Estado de México","Valle de Bravo","guarderias",3,6811,130,49,"15"
"66","10006","Durango","General Simón Bolívar","guarderias",0,0,130,0,"10"
"67","14124","Jalisco","Zapotlanejo","guarderias",4,7737,130,56,"14"
"68","17029","Morelos","Yautepec","guarderias",13,8982,130,56,"17"
"69","21119","Puebla","San Andrés Cholula","guarderias",13,12537,130,83,"21"
