id_ent,id_mun,name_ent,name_mun,name_ent_short
1,1,Aguascalientes,Aguascalientes,AGS
1,2,Aguascalientes,Asientos,AGS
1,3,Aguascalientes,Calvillo,AGS
1,4,Aguascalientes,Cosío,AGS
1,5,Aguascalientes,Jesús María,AGS
1,6,Aguascalientes,Pabellón de Arteaga,AGS
1,7,Aguascalientes,Rincón de Romos,AGS
1,8,Aguascalientes,San José de Gracia,AGS
1,9,Aguascalientes,Tepezalá,AGS
1,10,Aguascalientes,El Llano,AGS
1,11,Aguascalientes,San Francisco de los Romo,AGS
2,1,Baja California,Ensenada,BC
2,2,Baja California,Mexicali,BC
2,3,Baja California,Tecate,BC
2,4,Baja California,Tijuana,BC
2,5,Baja California,Playas de Rosarito,BC
2,6,Baja California,San Quintín,BC
2,7,Baja California,San Felipe,BC
3,1,Baja California Sur,Comondú,BCS
3,2,Baja California Sur,Mulegé,BCS
3,3,Baja California Sur,La Paz,BCS
3,8,Baja California Sur,Los Cabos,BCS
3,9,Baja California Sur,Loreto,BCS
4,1,Campeche,Calkiní,CAMP
4,2,Campeche,Campeche,CAMP
4,3,Campeche,Carmen,CAMP
4,4,Campeche,Champotón,CAMP
4,5,Campeche,Hecelchakán,CAMP
4,6,Campeche,Hopelchén,CAMP
4,7,Campeche,Palizada,CAMP
4,8,Campeche,Tenabo,CAMP
4,9,Campeche,Escárcega,CAMP
4,10,Campeche,Calakmul,CAMP
4,11,Campeche,Candelaria,CAMP
4,12,Campeche,Seybaplaya,CAMP
4,13,Campeche,Dzitbalché,CAMP
5,1,Coahuila,Abasolo,COAH
5,2,Coahuila,Acuña,COAH
5,3,Coahuila,Allende,COAH
5,4,Coahuila,Arteaga,COAH
5,5,Coahuila,Candela,COAH
5,6,Coahuila,Castaños,COAH
5,7,Coahuila,Cuatro Ciénegas,COAH
5,8,Coahuila,Escobedo,COAH
5,9,Coahuila,Francisco I. Madero,COAH
5,10,Coahuila,Frontera,COAH
5,11,Coahuila,General Cepeda,COAH
5,12,Coahuila,Guerrero,COAH
5,13,Coahuila,Hidalgo,COAH
5,14,Coahuila,Jiménez,COAH
5,15,Coahuila,Juárez,COAH
5,16,Coahuila,Lamadrid,COAH
5,17,Coahuila,Matamoros,COAH
5,18,Coahuila,Monclova,COAH
5,19,Coahuila,Morelos,COAH
5,20,Coahuila,Múzquiz,COAH
5,21,Coahuila,Nadadores,COAH
5,22,Coahuila,Nava,COAH
5,23,Coahuila,Ocampo,COAH
5,24,Coahuila,Parras,COAH
5,25,Coahuila,Piedras Negras,COAH
5,26,Coahuila,Progreso,COAH
5,27,Coahuila,Ramos Arizpe,COAH
5,28,Coahuila,Sabinas,COAH
5,29,Coahuila,Sacramento,COAH
5,30,Coahuila,Saltillo,COAH
5,31,Coahuila,San Buenaventura,COAH
5,32,Coahuila,San Juan de Sabinas,COAH
5,33,Coahuila,San Pedro,COAH
5,34,Coahuila,Sierra Mojada,COAH
5,35,Coahuila,Torreón,COAH
5,36,Coahuila,Viesca,COAH
5,37,Coahuila,Villa Unión,COAH
5,38,Coahuila,Zaragoza,COAH
6,1,Colima,Armería,COL
6,2,Colima,Colima,COL
6,3,Colima,Comala,COL
6,4,Colima,Coquimatlán,COL
6,5,Colima,Cuauhtémoc,COL
6,6,Colima,Ixtlahuacán,COL
6,7,Colima,Manzanillo,COL
6,8,Colima,Minatitlán,COL
6,9,Colima,Tecomán,COL
6,10,Colima,Villa de Álvarez,COL
7,1,Chiapas,Acacoyagua,CHIS
7,2,Chiapas,Acala,CHIS
7,3,Chiapas,Acapetahua,CHIS
7,4,Chiapas,Altamirano,CHIS
7,5,Chiapas,Amatán,CHIS
7,6,Chiapas,Amatenango de la Frontera,CHIS
7,7,Chiapas,Amatenango del Valle,CHIS
7,8,Chiapas,Ángel Albino Corzo,CHIS
7,9,Chiapas,Arriaga,CHIS
7,10,Chiapas,Bejucal de Ocampo,CHIS
7,11,Chiapas,Bella Vista,CHIS
7,12,Chiapas,Berriozábal,CHIS
