"","cve_ent","nom_ent","distrito","cve_mun","nom_mun","inegi","nombre_completo","mail"
"1","32","Zacatecas",1,"005","CALERA","32005","Claudia Edith Anaya Mota","claudia.anaya@senado.gob.mx"
"2","32","Zacatecas",1,"005","CALERA","32005","María Soledad Luévano Cantú","soledad.luevano@senado.gob.mx"
"3","32","Zacatecas",1,"005","CALERA","32005","José Narro Céspedes","jose.narro@senado.gob.mx"
"4","32","Zacatecas",1,"006","CAÑITAS DE FELIPE PESCADOR","32006","Claudia Edith Anaya Mota","claudia.anaya@senado.gob.mx"
"5","32","Zacatecas",1,"006","CAÑITAS DE FELIPE PESCADOR","32006","María Soledad Luévano Cantú","soledad.luevano@senado.gob.mx"
"6","32","Zacatecas",1,"006","CAÑITAS DE FELIPE PESCADOR","32006","José Narro Céspedes","jose.narro@senado.gob.mx"
"7","32","Zacatecas",1,"009","CHALCHIHUITES","32009","Claudia Edith Anaya Mota","claudia.anaya@senado.gob.mx"
"8","32","Zacatecas",1,"009","CHALCHIHUITES","32009","María Soledad Luévano Cantú","soledad.luevano@senado.gob.mx"
"9","32","Zacatecas",1,"009","CHALCHIHUITES","32009","José Narro Céspedes","jose.narro@senado.gob.mx"
"10","32","Zacatecas",1,"010","FRESNILLO","32010","Claudia Edith Anaya Mota","claudia.anaya@senado.gob.mx"
"11","32","Zacatecas",1,"010","FRESNILLO","32010","María Soledad Luévano Cantú","soledad.luevano@senado.gob.mx"
"12","32","Zacatecas",1,"010","FRESNILLO","32010","José Narro Céspedes","jose.narro@senado.gob.mx"
"13","32","Zacatecas",1,"013","GENERAL ENRIQUE ESTRADA","32013","Claudia Edith Anaya Mota","claudia.anaya@senado.gob.mx"
"14","32","Zacatecas",1,"013","GENERAL ENRIQUE ESTRADA","32013","María Soledad Luévano Cantú","soledad.luevano@senado.gob.mx"
"15","32","Zacatecas",1,"013","GENERAL ENRIQUE ESTRADA","32013","José Narro Céspedes","jose.narro@senado.gob.mx"
"16","32","Zacatecas",1,"021","JIMENEZ DEL TEUL","32021","Claudia Edith Anaya Mota","claudia.anaya@senado.gob.mx"
"17","32","Zacatecas",1,"021","JIMENEZ DEL TEUL","32021","María Soledad Luévano Cantú","soledad.luevano@senado.gob.mx"
"18","32","Zacatecas",1,"021","JIMENEZ DEL TEUL","32021","José Narro Céspedes","jose.narro@senado.gob.mx"
"19","32","Zacatecas",1,"040","SAIN ALTO","32040","Claudia Edith Anaya Mota","claudia.anaya@senado.gob.mx"
"20","32","Zacatecas",1,"040","SAIN ALTO","32040","María Soledad Luévano Cantú","soledad.luevano@senado.gob.mx"
"21","32","Zacatecas",1,"040","SAIN ALTO","32040","José Narro Céspedes","jose.narro@senado.gob.mx"
"22","32","Zacatecas",1,"042","SOMBRERETE","32042","Claudia Edith Anaya Mota","claudia.anaya@senado.gob.mx"
"23","32","Zacatecas",1,"042","SOMBRERETE","32042","María Soledad Luévano Cantú","soledad.luevano@senado.gob.mx"
"24","32","Zacatecas",1,"042","SOMBRERETE","32042","José Narro Céspedes","jose.narro@senado.gob.mx"
"25","32","Zacatecas",2,"001","APOZOL","32001","Claudia Edith Anaya Mota","claudia.anaya@senado.gob.mx"
"26","32","Zacatecas",2,"001","APOZOL","32001","María Soledad Luévano Cantú","soledad.luevano@senado.gob.mx"
"27","32","Zacatecas",2,"001","APOZOL","32001","José Narro Céspedes","jose.narro@senado.gob.mx"
"28","32","Zacatecas",2,"002","APULCO","32002","Claudia Edith Anaya Mota","claudia.anaya@senado.gob.mx"
"29","32","Zacatecas",2,"002","APULCO","32002","María Soledad Luévano Cantú","soledad.luevano@senado.gob.mx"
"30","32","Zacatecas",2,"002","APULCO","32002","José Narro Céspedes","jose.narro@senado.gob.mx"
"31","32","Zacatecas",2,"003","ATOLINGA","32003","Claudia Edith Anaya Mota","claudia.anaya@senado.gob.mx"
"32","32","Zacatecas",2,"003","ATOLINGA","32003","María Soledad Luévano Cantú","soledad.luevano@senado.gob.mx"
"33","32","Zacatecas",2,"003","ATOLINGA","32003","José Narro Céspedes","jose.narro@senado.gob.mx"
"34","32","Zacatecas",2,"004","BENITO JUAREZ","32004","Claudia Edith Anaya Mota","claudia.anaya@senado.gob.mx"
"35","32","Zacatecas",2,"004","BENITO JUAREZ","32004","María Soledad Luévano Cantú","soledad.luevano@senado.gob.mx"
"36","32","Zacatecas",2,"004","BENITO JUAREZ","32004","José Narro Céspedes","jose.narro@senado.gob.mx"
"37","32","Zacatecas",2,"008","CUAUHTEMOC","32008","Claudia Edith Anaya Mota","claudia.anaya@senado.gob.mx"
"38","32","Zacatecas",2,"008","CUAUHTEMOC","32008","María Soledad Luévano Cantú","soledad.luevano@senado.gob.mx"
"39","32","Zacatecas",2,"008","CUAUHTEMOC","32008","José Narro Céspedes","jose.narro@senado.gob.mx"
